,acronyms,variable,density,role,structure,color
2,MOs,BL2observer,2314.8563824885,observer,Isocortex,#e15759
5,VISC,BL2observer,2684.60656310752,observer,Isocortex,#e15759
6,AUDd,BL2observer,4883.79127804386,observer,Isocortex,#e15759
8,AUDpo,BL2observer,3619.26010244735,observer,Isocortex,#e15759
9,AUDv,BL2observer,2411.35710664188,observer,Isocortex,#e15759
10,VISal,BL2observer,6348.35089138444,observer,Isocortex,#e15759
11,VISam,BL2observer,4523.45255943456,observer,Isocortex,#e15759
12,VISl,BL2observer,8133.24858567477,observer,Isocortex,#e15759
13,VISp,BL2observer,6044.88533206936,observer,Isocortex,#e15759
14,VISpl,BL2observer,2963.03121041115,observer,Isocortex,#e15759
17,ACA,BL2observer,3312.66666904035,observer,Isocortex,#e15759
18,PL,BL2observer,2153.69246420485,observer,Isocortex,#e15759
20,ORB,BL2observer,1478.5618923514,observer,Isocortex,#e15759
21,AI,BL2observer,2759.82689231453,observer,Isocortex,#e15759
22,RSP,BL2observer,2715.83453868292,observer,Isocortex,#e15759
24,VISrl,BL2observer,5363.90722232698,observer,Isocortex,#e15759
25,PERI,BL2observer,8336.35257536839,observer,Isocortex,#e15759
27,MOB,BL2observer,6185.33119580043,observer,Olfactory areas,#76b7b2
28,AOB,BL2observer,2603.22367907871,observer,Olfactory areas,#76b7b2
29,AON,BL2observer,2872.43606052896,observer,Olfactory areas,#76b7b2
30,TT,BL2observer,2813.38073245429,observer,Olfactory areas,#76b7b2
31,DP,BL2observer,1192.09617244715,observer,Olfactory areas,#76b7b2
32,PIR,BL2observer,3375.81585286478,observer,Olfactory areas,#76b7b2
33,NLOT,BL2observer,2821.74507296858,observer,Olfactory areas,#76b7b2
34,COA,BL2observer,1043.26618447009,observer,Olfactory areas,#76b7b2
35,PAA,BL2observer,543.96778467942,observer,Olfactory areas,#76b7b2
36,TR,BL2observer,1942.35769209492,observer,Olfactory areas,#76b7b2
38,DG,BL2observer,3012.21230382805,observer,Hippocampal formation,#edc948
41,ENT,BL2observer,4086.44614647907,observer,Hippocampal formation,#edc948
42,PAR,BL2observer,2895.44673289248,observer,Hippocampal formation,#edc948
43,POST,BL2observer,4594.75323971643,observer,Hippocampal formation,#edc948
44,PRE,BL2observer,6353.68720149229,observer,Hippocampal formation,#edc948
45,SUB,BL2observer,6784.57231561209,observer,Hippocampal formation,#edc948
49,CLA,BL2observer,4841.80786399851,observer,Cortical subplate,#59a14f
50,EP,BL2observer,4372.06023586021,observer,Cortical subplate,#59a14f
51,LA,BL2observer,1506.9743633494,observer,Cortical subplate,#59a14f
52,BLA,BL2observer,1549.2278727043,observer,Cortical subplate,#59a14f
53,BMA,BL2observer,1207.72317828026,observer,Cortical subplate,#59a14f
56,ACB,BL2observer,2099.62423088439,observer,Striatum,#9c755f
60,LS,BL2observer,3814.45517648987,observer,Striatum,#9c755f
64,BA,BL2observer,13686.8754163889,observer,Striatum,#9c755f
66,IA,BL2observer,3079.19386886178,observer,Striatum,#9c755f
67,MEA,BL2observer,2391.53190745271,observer,Striatum,#9c755f
72,MSC,BL2observer,6024.06136974025,observer,Pallidum,#bab0ac
75,BAC,BL2observer,8654.58108770211,observer,Pallidum,#bab0ac
80,SPF,BL2observer,11171.9322442998,observer,Thalamus,#b07aa1
81,SPA,BL2observer,709.326641572558,observer,Thalamus,#b07aa1
87,POL,BL2observer,2409.40564907511,observer,Thalamus,#b07aa1
92,AM,BL2observer,4365.41530290147,observer,Thalamus,#b07aa1
94,IAM,BL2observer,2661.00151745072,observer,Thalamus,#b07aa1
95,IAD,BL2observer,5153.60390852637,observer,Thalamus,#b07aa1
97,IMD,BL2observer,596.375314231599,observer,Thalamus,#b07aa1
98,MD,BL2observer,2823.93831394753,observer,Thalamus,#b07aa1
100,PR,BL2observer,518.320632153202,observer,Thalamus,#b07aa1
101,PVT,BL2observer,2127.20238034792,observer,Thalamus,#b07aa1
102,PT,BL2observer,8934.95075869648,observer,Thalamus,#b07aa1
103,RE,BL2observer,1509.83236445736,observer,Thalamus,#b07aa1
105,RH,BL2observer,806.02995897339,observer,Thalamus,#b07aa1
106,CM,BL2observer,865.040530310025,observer,Thalamus,#b07aa1
117,LH,BL2observer,5367.74747461202,observer,Thalamus,#b07aa1
123,ADP,BL2observer,1848.29307424903,observer,Hypothalamus,#f28e2b
126,AVPV,BL2observer,374.657280474261,observer,Hypothalamus,#f28e2b
