acronyms,role,structure,color,density
VTA,observer,Midbrain,#ff9da7,8752.205388416189
BA,demonstrator,Striatum,#9c755f,8040.354049681075
BA,observer,Striatum,#9c755f,7282.002474540697
LHA,observer,Hypothalamus,#f28e2b,6380.764717485137
SPF,observer,Thalamus,#b07aa1,6243.277691232491
VTA,demonstrator,Midbrain,#ff9da7,5696.13152301488
VISl,observer,Isocortex,#e15759,5691.649742514144
LPO,observer,Hypothalamus,#f28e2b,5603.07759558664
PT,observer,Thalamus,#b07aa1,4997.868524813873
LPO,demonstrator,Hypothalamus,#f28e2b,4932.102518043616
PT,demonstrator,Thalamus,#b07aa1,4826.287791417337
VISal,observer,Isocortex,#e15759,4772.70351254312
LHA,demonstrator,Hypothalamus,#f28e2b,4552.920763447079
VISp,observer,Isocortex,#e15759,4445.2306689632715
DMH,observer,Hypothalamus,#f28e2b,4391.797548886711
SPF,demonstrator,Thalamus,#b07aa1,4298.533930187718
VISl,demonstrator,Isocortex,#e15759,4233.9238410316
DMH,demonstrator,Hypothalamus,#f28e2b,4161.557338350192
PRE,observer,Hippocampal formation,#edc948,4117.303359291637
VTA,no_shock,Midbrain,#ff9da7,4097.877165412184
MOB,demonstrator,Olfactory areas,#76b7b2,4006.9046255461008
BAC,observer,Pallidum,#bab0ac,3977.8819906208455
VISal,demonstrator,Isocortex,#e15759,3966.6792758421143
SUB,observer,Hippocampal formation,#edc948,3938.885171826213
VISrl,observer,Isocortex,#e15759,3806.7939980065175
SUB,demonstrator,Hippocampal formation,#edc948,3732.0606447724213
IC,observer,Midbrain,#ff9da7,3639.9579453203005
SCm,observer,Midbrain,#ff9da7,3632.7590087674103
MOB,observer,Olfactory areas,#76b7b2,3610.358930189273
MPO,demonstrator,Hypothalamus,#f28e2b,3514.539294548017
AOB,demonstrator,Olfactory areas,#76b7b2,3499.880968420662
PRE,demonstrator,Hippocampal formation,#edc948,3480.5089800844826
PERI,observer,Isocortex,#e15759,3426.2538867108283
MSC,demonstrator,Pallidum,#bab0ac,3393.6544000974945
