area,fold_change,pval_noshock_vs_demonstrator
Frontal pole cerebral cortex,1.4155005382131325,0.2614516172563353
Primary motor area,1.2271227452705673,0.22164426105822
Secondary motor area,1.583012512030799,0.0799320987739866
Primary somatosensory area,1.4338751931951466,0.22164426105822
Supplemental somatosensory area,1.7893488004218296,0.1006682426437004
Visceral area,2.1050878255602665,0.048348783808818
Dorsal auditory area,2.406522737712448,0.1006682426437004
Primary auditory area,2.2817933611151027,0.1250765039796911
Posterior auditory area,3.1263897015798707,0.0368191350601513
Ventral auditory area,2.6527484143763216,0.0204567764922483
Anterolateral visual area,3.656759348034516,0.0204567764922483
Anteromedial visual area,4.022,0.0075968049887301
Lateral visual area,4.635997154375149,0.010725366843161
Primary visual area,4.585785709765206,0.0149210322089771
Posterolateral visual area,5.8045197740113,0.0036131111133158
Laterointermediate area,,
Postrhinal area,,
Anterior cingulate area,2.2881686548128144,0.048348783808818
Prelimbic area,2.2323256947830323,0.0799320987739866
Infralimbic area,1.74075500770416,0.1250765039796911
Orbital area,2.121252655598395,0.0368191350601513
Agranular insular area,2.671831174034994,0.027642496358512
Retrosplenial area,2.7288264750707603,0.0149210322089771
Anterior area,,
Rostrolateral visual area,2.673539518900344,0.0368191350601513
Perirhinal area,2.755826558265583,0.1006682426437004
Ectorhinal area,,
Main olfactory bulb,3.3559657773844145,0.010725366843161
Accessory olfactory bulb,2.719770253929867,0.1855466847613487
Anterior olfactory nucleus,5.079625884732052,0.0036451790457678
Taenia tecta,4.785607196401799,0.0024689527354536
Dorsal peduncular area,3.083857442348009,0.0316678519127858
Piriform area,3.932139518579107,0.0024689527354536
Nucleus of the lateral olfactory tract,3.1535269709543567,0.027642496358512
Cortical amygdalar area,4.644385026737968,0.0024689527354536
Piriform-amygdalar area,2.8785276073619634,0.0053016726910613
Postpiriform transition area,2.415757000474609,0.0149210322089771
Ammon's horn,1.6137488372093023,0.1533425329520903
Dentate gyrus,1.7493897477624083,0.1533425329520903
Fasciola cinerea,2.223958333333333,0.1517375585837325
Induseum griseum,4.5,0.1520064985296999
Entorhinal area,3.0206844271171764,0.010725366843161
Parasubiculum,1.6243386243386242,0.350739054433307
Postsubiculum,2.047619047619048,0.0799320987739866
Presubiculum,1.7869225764476253,0.1006682426437004
Subiculum,2.0778010400486253,0.0799320987739866
Prosubiculum,,
Hippocampo-amygdalar transition area,,
Area prostriata,,
Claustrum,3.5446808510638306,0.0053016726910613
Endopiriform nucleus,3.084290220820189,0.010725366843161
Lateral amygdalar nucleus,2.4762463343108503,0.0149210322089771
Basolateral amygdalar nucleus,2.1590672496356444,0.027642496358512
Basomedial amygdalar nucleus,3.1691593604951005,0.0075968049887301
Posterior amygdalar nucleus,2.032378580323785,0.22164426105822
Caudoputamen,1.0406064721158623,0.5
Nucleus accumbens,1.5296622613803232,0.22164426105822
Fundus of striatum,1.4267515923566878,0.350739054433307
Olfactory tubercle,2.080201242971293,0.0799320987739866
Lateral strip of striatum,,0.0010825146665191
Lateral septal nucleus,2.512968299711816,0.048348783808818
Septofimbrial nucleus,1.64878892733564,0.1855466847613487
Septohippocampal nucleus,7.3947368421052655,0.0874491397407358
Anterior amygdalar area,1.6809074837949325,0.1533425329520903
Bed nucleus of the accessory olfactory tract,3.981900452488688,0.0237006235483911
Central amygdalar nucleus,1.6626851409460106,0.0799320987739866
Intercalated amygdalar nucleus,2.837931034482758,0.0237006235483911
Medial amygdalar nucleus,2.632911392405063,0.0368191350601513
Globus pallidus external segment,0.7563989408649602,0.22164426105822
Globus pallidus internal segment,0.8344664498965417,0.350739054433307
Substantia innominata,1.334490517518483,0.5
Magnocellular nucleus,0.8777589134125638,0.5
Medial septal complex,2.6681094182825484,0.048348783808818
Triangular nucleus of septum,1.6195508586525755,0.4491077413427273
Bed nuclei of the stria terminalis,1.927215641501356,0.1533425329520903
Bed nucleus of the anterior commissure,1.6956521739130437,0.4232495881275309
Ventral anterior-lateral complex of the thalamus,0.8336291038154392,0.5
Ventral medial nucleus of the thalamus,1.1033173461231014,0.3991489236642632
Ventral posterior complex of the thalamus,0.6882487425697301,0.350739054433307
Posterior triangular thalamic nucleus,,
Subparafascicular nucleus,2.128805620608899,0.1533425329520903
Subparafascicular area,4.488888888888889,0.0366608192920966
Peripeduncular nucleus,0.9723577235772358,0.4491633936346191
Medial geniculate complex,1.0168630168630166,0.4745018432215291
Dorsal part of the lateral geniculate complex,0.807609067091924,0.22164426105822
